Horodateur,"En temps normal, à quelle fréquence utilisez-vous les transports en commun ?","En temps normal, à quelle(s) heure(s) utilisez-vous les transports en commun ?",Dans quel cadre prenez-vous majoritairement les transports en commun ?,Quels types de transports en commun utilisez-vous ?,Quel temps passez-vous en moyenne dans les transports en commun par jour ?,Ressentez-vous de l'insécurité en prenant les transports en commun ?,"Si oui,  à quelle(s) heure(s) ?",Avez-vous déjà été témoins de comportements correspondant à cette définition du harcèlement ?,Avez-vous déjà subi du harcèlement dans les transports en commun ?,"Si oui, est-ce-que cette expérience a entrainé un ou plusieurs changements de comportement de votre part ?","Si oui, avez-vous été victime de violences physiques en lien avec ce harcèlement ? ",Connaissez-vous le dispositif Alerte 3117 ?,"Si oui, l'avez-vous déjà utilisé ?",Pensez-vous que le dispositif Alerte 3117 soit une solution efficace dans les situations de harcèlement sexuel ou sexiste ?,Pourquoi ?,Connaissez-vous l'arrêt à la demande ?,"Si oui, l'avez-vous déjà utilisé ?",Pensez-vous que le dispositif d'arrêt à la demande soit une solution efficace pour éviter le harcèlement sexuel ou sexiste ?,Pourquoi ?,"Selon-vous, à quel point cette campagne de communication est-elle efficace pour lutter contre le harcèlement dans les transports en commun ?",Pourquoi ?,Quel est votre genre ?,Quel est votre âge ?,Quelle est votre catégorie socio-professionnelle ?,Dans quelle ville habitez-vous ?,
2022/01/12 4:58:23 PM UTC+1,Tous les jours,"Heures de pointe (7h30 - 9h30, 16h30 - 19h30);Heures creuses (9h30 - 16h30);Le soir (après 19h30)",Déplacements scolaires/professionnels,"Métros, tramways;TER, transiliens",Moins de 30 minutes,8,Le soir (après 19h30),"Non, jamais","Oui, une seule fois",Changement de siège ou de wagon en cas de sentiment d'insécurité,Non,Non,Non,2,,Non,Non,2,,3,,Féminin,18 - 25 ans,Étudiant·e,Paris,
2022/01/15 8:33:00 PM UTC+1,Tous les jours,"Heures de pointe (7h30 - 9h30, 16h30 - 19h30);Heures creuses (9h30 - 16h30);Le soir (après 19h30)",Déplacements scolaires/professionnels,"Métros, tramways;Bus, car (jour)",Moins de 30 minutes,7,Le soir (après 19h30),"Oui, à plusieurs reprises","Oui, à plusieurs reprises",,Non,Non,,1,,Oui,Non,2,,2,,Féminin,18 - 25 ans,Étudiant·e,Paris,Non
2022/01/15 8:37:10 PM UTC+1,Tous les jours,"Heures de pointe (7h30 - 9h30, 16h30 - 19h30);Heures creuses (9h30 - 16h30)",Déplacements scolaires/professionnels,"Métros, tramways;Bus, car (jour)",Moins de 30 minutes,7,Le soir (après 19h30),"Oui, à plusieurs reprises","Oui, à plusieurs reprises",Changement de siège ou de wagon en cas de sentiment d'insécurité,Non,Non,,1,,Oui,Non,2,,1,,Féminin,18 - 25 ans,Étudiant·e,Paris,
2022/01/16 2:41:45 PM UTC+1,Tous les jours,"Heures de pointe (7h30 - 9h30, 16h30 - 19h30);Le soir (après 19h30)",Déplacements scolaires/professionnels,"Métros, tramways;Trains longue distance (intercités, TGV);Bus, car (jour)",Entre 30 minutes et 1 heure,2,,"Oui, à plusieurs reprises","Non, jamais",,,Oui,Non,1,"Pas d'intervention immédiate, numéro qui ne fonctionne en pratique pas tout le temps",Oui,Non,3,"Pas tout le temps appliqué en pratique, limite le harcèlement dans la rue mais pas forcément dans les transports",1,Représentation caricaturale des agresseurs qui ne correspond pas tjrs à la figure de l'homme dangereux,Masculin,18 - 25 ans,Étudiant·e,Paris,
2022/01/16 8:26:04 PM UTC+1,Tous les jours,"Heures de pointe (7h30 - 9h30, 16h30 - 19h30)",Déplacements scolaires/professionnels,"Métros, tramways;TER, transiliens;Trains longue distance (intercités, TGV);Bus, car (nuit)",Entre 1 heure et 2 heures,6,"Heures de pointe (7h30 - 9h30, 16h30 - 19h30);Le soir (après 19h30)","Oui, une seule fois","Oui, à plusieurs reprises",Changement de siège ou de wagon en cas de sentiment d'insécurité;Modification du style vestimentaire,Oui et je n'ai pas porté plainte,Oui,Non,3,,Oui,Non,4,,3,,Féminin,26 - 35 ans,Étudiant·e,Palaiseau ,
2022/01/16 9:03:12 PM UTC+1,Tous les jours,"Heures de pointe (7h30 - 9h30, 16h30 - 19h30)",Déplacements scolaires/professionnels,"Métros, tramways;TER, transiliens;Bus, car (jour)",Plus de 2 heures,7,"Heures de pointe (7h30 - 9h30, 16h30 - 19h30)","Non, jamais","Oui, à plusieurs reprises","Changement de siège ou de wagon en cas de sentiment d'insécurité;Modification du style vestimentaire;Favorisation de l'usage des transports en groupe;Réduction de l'usage des transports en commun en favorisant d'autres modes de déplacements (vélo, taxi, véhicule personnel, etc.)",Non,Non,Non,3,,Oui,Non,2,Il ne l'évite pas il le déplace seulement. ,4,C'est toujours mieux que rien. ,Masculin,36 - 45 ans,Ouvrier·ères qualifié·es,Sucy en brie ,
2022/01/17 5:43:48 PM UTC+1,2 à 3 fois par mois,Le soir (après 19h30),"Déplacements liés à la vie quotidienne (courses, loisirs...)","Métros, tramways;TER, transiliens;Bus, car (nuit)",Moins de 30 minutes,3,Heures creuses (9h30 - 16h30),"Oui, une seule fois","Non, jamais",,,Non,,1,,Non,,2,,2,,Masculin,18 - 25 ans,Étudiant·e,Paris,
2022/01/17 6:24:06 PM UTC+1,Tous les jours,"Tôt le matin (5h - 7h30);Heures de pointe (7h30 - 9h30, 16h30 - 19h30);Heures creuses (9h30 - 16h30);Le soir (après 19h30)",Déplacements scolaires/professionnels,"Métros, tramways;TER, transiliens;Trains longue distance (intercités, TGV)",Entre 30 minutes et 1 heure,3,,"Oui, à plusieurs reprises","Oui, à plusieurs reprises",Changement de siège ou de wagon en cas de sentiment d'insécurité,Non,Non,,3,Je ne peux pas répondre à cette question puisque le mode opératoire d’action m’est inconnu ,Non,,3,Idem je ne connais pas donc ne peux pas être objective ,1,Quid de l’impact publicitaire selon la cible : est ce que les agresseurs la regardent ? Ou plutôt les victimes ? Une étude d’impact a dû être menée ,Féminin,18 - 25 ans,Cadres et professions intellectuelles supérieures,Paris,
2022/01/17 7:21:04 PM UTC+1,2 à 3 fois par semaine,Heures creuses (9h30 - 16h30);Le soir (après 19h30),Déplacements scolaires/professionnels,"Métros, tramways;TER, transiliens;Bus, car (jour);Bus, car (nuit)",Plus de 2 heures,3,Heures creuses (9h30 - 16h30),"Non, jamais","Non, jamais",Changement de siège ou de wagon en cas de sentiment d'insécurité,,Oui,Non,2,,Oui,Non,2,,1,,Masculin,18 - 25 ans,Étudiant·e,Fontainebleau,
2022/01/19 11:03:52 PM UTC+1,Tous les jours,"Heures de pointe (7h30 - 9h30, 16h30 - 19h30);Heures creuses (9h30 - 16h30);Le soir (après 19h30)",Déplacements scolaires/professionnels,"Métros, tramways;Bus, car (jour);Bus, car (nuit)",Moins de 30 minutes;Entre 30 minutes et 1 heure,7,Le soir (après 19h30),"Oui, à plusieurs reprises","Oui, à plusieurs reprises",Changement de siège ou de wagon en cas de sentiment d'insécurité;Modification du style vestimentaire,Oui et j'ai porté plainte,Oui,Non,5,,Oui,Non,4,,4,,Féminin,18 - 25 ans,Étudiant·e,Paris,
2022/01/21 4:03:47 PM UTC+1,Tous les jours,Heures creuses (9h30 - 16h30),"Déplacements liés à la vie quotidienne (courses, loisirs...)","Métros, tramways;Bus, car (jour)",Entre 30 minutes et 1 heure,4,Heures creuses (9h30 - 16h30),"Oui, à plusieurs reprises","Oui, à plusieurs reprises",Changement de siège ou de wagon en cas de sentiment d'insécurité;Modification du style vestimentaire,Oui et je n'ai pas porté plainte,Oui,Non,3,Il faut pouvoir contacter ce numéro discrètement et qu il y ait suffisamment d agents disponibles à ce moment-là pour une intervention rapide.,Oui,Non,4,"Moins on a de trajet à parcourir, moins on est exposé. De plus, cela donne le sentiment que la société veuille vraiment protéger les personnes pouvant subir du harcèlement",3,,Féminin,26 - 35 ans,Autres personnes sans activité professionnelle,Artigues-près-Bordeaux,
2022/01/22 9:31:12 PM UTC+1,Tous les jours,Heures creuses (9h30 - 16h30);Le soir (après 19h30),Déplacements scolaires/professionnels,"TER, transiliens;Bus, car (jour)",Entre 30 minutes et 1 heure,6,Le soir (après 19h30),"Non, jamais","Non, jamais",,Non,Non,Non,3,,Non,Non,3,,3,,Masculin,26 - 35 ans,Cadres et professions intellectuelles supérieures,Palaiseau,
2022/01/27 11:57:09 AM UTC+1,Tous les jours,"Heures de pointe (7h30 - 9h30, 16h30 - 19h30);Heures creuses (9h30 - 16h30);Le soir (après 19h30)",Déplacements scolaires/professionnels,"Métros, tramways;Trains longue distance (intercités, TGV)",Entre 30 minutes et 1 heure,2,,"Oui, à plusieurs reprises","Non, jamais",,,Non,Non,1,,Oui,Non,4,,1,,Masculin,18 - 25 ans,Étudiant·e,Paris ,
2022/01/27 4:39:52 PM UTC+1,2 à 3 fois par mois,Heures creuses (9h30 - 16h30);Le soir (après 19h30),"Déplacements liés à la vie quotidienne (courses, loisirs...)","Métros, tramways;TER, transiliens;Trains longue distance (intercités, TGV)",Moins de 30 minutes,10,Heures creuses (9h30 - 16h30);Le soir (après 19h30),"Non, jamais","Non, jamais",,,Non,,3,,Non,,5,,4,,Masculin,18 - 25 ans,Étudiant·e,Paris,
2022/01/27 4:43:22 PM UTC+1,2 à 3 fois par semaine,"Heures de pointe (7h30 - 9h30, 16h30 - 19h30);Heures creuses (9h30 - 16h30);Le soir (après 19h30)","Déplacements liés à la vie quotidienne (courses, loisirs...)","Métros, tramways;TER, transiliens;Trains longue distance (intercités, TGV);Bus, car (jour)",Moins de 30 minutes,1,"Tôt le matin (5h - 7h30);Heures de pointe (7h30 - 9h30, 16h30 - 19h30);Heures creuses (9h30 - 16h30)","Oui, à plusieurs reprises","Oui, à plusieurs reprises",Changement de siège ou de wagon en cas de sentiment d'insécurité,Non,Non,,1,Je ne le connais pas,Oui,Non,1,Je vois pas le rapport,1,J'ai pas compris,Masculin,18 - 25 ans,Étudiant·e,Paris,
2022/01/27 4:47:25 PM UTC+1,Tous les jours,"Heures de pointe (7h30 - 9h30, 16h30 - 19h30);Heures creuses (9h30 - 16h30);Le soir (après 19h30)",Déplacements scolaires/professionnels,"Métros, tramways;Bus, car (jour)",Entre 30 minutes et 1 heure,7,Le soir (après 19h30),"Oui, à plusieurs reprises","Oui, à plusieurs reprises","Changement de siège ou de wagon en cas de sentiment d'insécurité;Modification du style vestimentaire;Favorisation de l'usage des transports en groupe;Réduction de l'usage des transports en commun en favorisant d'autres modes de déplacements (vélo, taxi, véhicule personnel, etc.)",Oui et je n'ai pas porté plainte,Non,Non,3,,Oui,Non,3,,3,,Féminin,26 - 35 ans,Étudiant·e,Paris,
2022/01/27 4:53:34 PM UTC+1,Tous les jours,"Heures de pointe (7h30 - 9h30, 16h30 - 19h30)",Déplacements scolaires/professionnels,"Métros, tramways;Bus, car (nuit)",Entre 1 heure et 2 heures,5,Le soir (après 19h30),"Oui, à plusieurs reprises","Oui, à plusieurs reprises",,Non,Non,Non,2,"Même si je ne l'ai jamais utilisé, je ne pense pas qu'un numéro soit suffisant s'il n'est pas suivi d'un système permettant une intervention d'un agent",Oui,Non,3,,3,,Masculin,18 - 25 ans,Étudiant·e,Villejuif,
